Date : 2025-08-22 23:05:23
Directory : d:\python_2.0\PythonApplication1\PythonApplication1\project\mb
Total : 211 files,  69060 codes, 7598 comments, 11108 blanks, all 87766 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| ChatGPT-Micro-Cap-Experiment-main\Experiment Details                                                                                                    |          4 |         87 |          0 |         57 |        144 |
| ChatGPT-Micro-Cap-Experiment-main\Other                                                                                                                 |          1 |         37 |          8 |          8 |         53 |
| ChatGPT-Micro-Cap-Experiment-main\Scripts and CSV Files                                                                                                 |          2 |         71 |          5 |         24 |        100 |
| ChatGPT-Micro-Cap-Experiment-main\Start Your Own                                                                                                        |          3 |        166 |         28 |         60 |        254 |
| ChatGPT-Micro-Cap-Experiment-main\Weekly Deep Research (MD)                                                                                             |          8 |        195 |          0 |         87 |        282 |
| deploy-scripts                                                                                                                                          |          4 |        121 |         45 |         52 |        218 |
| logs                                                                                                                                                    |          2 |         30 |          0 |          2 |         32 |
| logs\tax_example                                                                                                                                        |          2 |         30 |          0 |          2 |         32 |
| russian_trading_bot                                                                                                                                     |        172 |     65,244 |      7,358 |      9,944 |     82,546 |
| russian_trading_bot (Files)                                                                                                                             |          3 |        250 |         41 |         69 |        360 |
| russian_trading_bot\api                                                                                                                                 |          3 |         60 |        137 |         23 |        220 |
| russian_trading_bot\config                                                                                                                              |          4 |        343 |        148 |         93 |        584 |
| russian_trading_bot\database                                                                                                                            |          7 |        882 |        170 |        208 |      1,260 |
| russian_trading_bot\examples                                                                                                                            |         13 |      2,904 |        426 |        736 |      4,066 |
| russian_trading_bot\infrastructure                                                                                                                      |         24 |      5,203 |        645 |      1,109 |      6,957 |
| russian_trading_bot\infrastructure (Files)                                                                                                              |          3 |        357 |          8 |         90 |        455 |
| russian_trading_bot\infrastructure\api_config                                                                                                           |          6 |      1,613 |        194 |        376 |      2,183 |
| russian_trading_bot\infrastructure\backup                                                                                                               |          3 |        204 |         50 |         54 |        308 |
| russian_trading_bot\infrastructure\deployment                                                                                                           |          2 |        299 |         52 |         65 |        416 |
| russian_trading_bot\infrastructure\maintenance                                                                                                          |          6 |      2,170 |        263 |        400 |      2,833 |
| russian_trading_bot\infrastructure\monitoring                                                                                                           |          3 |        483 |         53 |        109 |        645 |
| russian_trading_bot\infrastructure\nginx                                                                                                                |          1 |         77 |         25 |         15 |        117 |
| russian_trading_bot\models                                                                                                                              |          6 |        974 |        163 |        263 |      1,400 |
| russian_trading_bot\services                                                                                                                            |         26 |     11,658 |      2,976 |      3,059 |     17,693 |
| russian_trading_bot\tests                                                                                                                               |         42 |     15,574 |      2,550 |      3,851 |     21,975 |
| russian_trading_bot\web                                                                                                                                 |         44 |     27,396 |        102 |        533 |     28,031 |
| russian_trading_bot\web (Files)                                                                                                                         |          3 |     22,396 |          0 |         29 |     22,425 |
| russian_trading_bot\web\backend                                                                                                                         |          2 |        388 |         18 |         23 |        429 |
| russian_trading_bot\web\build                                                                                                                           |          4 |         16 |          3 |          0 |         19 |
| russian_trading_bot\web\build (Files)                                                                                                                   |          2 |         14 |          0 |          0 |         14 |
| russian_trading_bot\web\build\static                                                                                                                    |          2 |          2 |          3 |          0 |          5 |
| russian_trading_bot\web\build\static\css                                                                                                                |          1 |          1 |          1 |          0 |          2 |
| russian_trading_bot\web\build\static\js                                                                                                                 |          1 |          1 |          2 |          0 |          3 |
| russian_trading_bot\web\public                                                                                                                          |          1 |         18 |          0 |          0 |         18 |
| russian_trading_bot\web\src                                                                                                                             |         34 |      4,578 |         81 |        481 |      5,140 |
| russian_trading_bot\web\src (Files)                                                                                                                     |          5 |        147 |          8 |         22 |        177 |
| russian_trading_bot\web\src\components                                                                                                                  |         16 |      2,702 |         50 |        272 |      3,024 |
| russian_trading_bot\web\src\components\Charts                                                                                                           |          4 |        767 |         29 |         91 |        887 |
| russian_trading_bot\web\src\components\Layout                                                                                                           |          3 |        215 |          4 |         26 |        245 |
| russian_trading_bot\web\src\components\News                                                                                                             |          2 |        296 |          7 |         25 |        328 |
| russian_trading_bot\web\src\components\Trading                                                                                                          |          7 |      1,424 |         10 |        130 |      1,564 |
| russian_trading_bot\web\src\i18n                                                                                                                        |          2 |        267 |          0 |          2 |        269 |
| russian_trading_bot\web\src\i18n (Files)                                                                                                                |          1 |         18 |          0 |          2 |         20 |
| russian_trading_bot\web\src\i18n\locales                                                                                                                |          1 |        249 |          0 |          0 |        249 |
| russian_trading_bot\web\src\pages                                                                                                                       |         11 |      1,462 |         23 |        185 |      1,670 |
| russian_trading_bot\web\src\pages\Dashboard                                                                                                             |          2 |        311 |          6 |         40 |        357 |
| russian_trading_bot\web\src\pages\Portfolio                                                                                                             |          3 |        317 |          4 |         32 |        353 |
| russian_trading_bot\web\src\pages\TradingDecisions                                                                                                      |          3 |        371 |          6 |         55 |        432 |
| russian_trading_bot\web\src\pages\TradingHistory                                                                                                        |          3 |        463 |          7 |         58 |        528 |
| Новая папка                                                                                                                                             |          1 |      1,007 |          0 |        171 |      1,178 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\.kiro\specs\ai-stock-trading-bot\design.md                                               | Markdown         |        284 |          0 |         68 |        352 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\.kiro\specs\ai-stock-trading-bot\requirements.md                                         | Markdown         |         61 |          0 |         32 |         93 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\.kiro\specs\ai-stock-trading-bot\tasks.md                                                | Markdown         |        227 |          0 |        245 |        472 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Experiment Details\Deep Research Index.md              | Markdown         |         12 |          0 |          4 |         16 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Experiment Details\Disclaimer.md                       | Markdown         |         18 |          0 |         17 |         35 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Experiment Details\Prompts.md                          | Markdown         |         26 |          0 |         18 |         44 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Experiment Details\Q&A.md                              | Markdown         |         31 |          0 |         18 |         49 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Other\ignore_list.gitignore                            | Ignore           |         37 |          8 |          8 |         53 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\README.md                                              | Markdown         |         52 |          0 |         37 |         89 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Scripts and CSV Files\Generate_Graph.py                | Python           |         64 |          3 |         15 |         82 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Scripts and CSV Files\Trading_Script.py                | Python           |          7 |          2 |          9 |         18 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Start Your Own\Generate_Graph.py                       | Python           |        120 |         26 |         41 |        187 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Start Your Own\README.md                               | Markdown         |         39 |          0 |         11 |         50 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Start Your Own\Trading_Script.py                       | Python           |          7 |          2 |          8 |         17 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Weekly Deep Research (MD)\Starting Research Summary.md | Markdown         |          9 |          0 |          5 |         14 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Weekly Deep Research (MD)\Week 1 Summary.md            | Markdown         |         38 |          0 |         13 |         51 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Weekly Deep Research (MD)\Week 2 Summary.md            | Markdown         |         15 |          0 |          3 |         18 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Weekly Deep Research (MD)\Week 3 Summary.md            | Markdown         |         20 |          0 |         12 |         32 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Weekly Deep Research (MD)\Week 4 Summary.md            | Markdown         |         22 |          0 |          9 |         31 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Weekly Deep Research (MD)\Week 5 Summary.md            | Markdown         |         27 |          0 |         12 |         39 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Weekly Deep Research (MD)\Week 6 Summary.md            | Markdown         |         27 |          0 |         20 |         47 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\Weekly Deep Research (MD)\Week 7 Summary.md            | Markdown         |         37 |          0 |         13 |         50 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\requirements.txt                                       | pip requirements |          4 |          0 |          1 |          5 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\ChatGPT-Micro-Cap-Experiment-main\trading_script.py                                      | Python           |        453 |        104 |         45 |        602 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\Dockerfile                                                                               | Docker           |         24 |         11 |         10 |         45 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\HOSTING_GUIDE.md                                                                         | Markdown         |        234 |          0 |         71 |        305 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\QUICK_START.md                                                                           | Markdown         |        147 |          0 |         41 |        188 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\README.md                                                                                | Markdown         |        346 |          0 |         99 |        445 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\deploy-scripts\backup.sh                                                                 | Shell Script     |         24 |         11 |         12 |         47 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\deploy-scripts\install-docker.sh                                                         | Shell Script     |         22 |         11 |         12 |         45 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\deploy-scripts\monitor.sh                                                                | Shell Script     |         45 |         12 |         13 |         70 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\deploy-scripts\update-bot.sh                                                             | Shell Script     |         30 |         11 |         15 |         56 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\deploy-to-hosting.sh                                                                     | Shell Script     |         98 |          6 |         23 |        127 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\docker-compose.hosting.yml                                                               | YAML             |         58 |          9 |          6 |         73 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\docker-compose.yml                                                                       | YAML             |         56 |          3 |          5 |         64 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\logs\tax_example\transactions_20250812.jsonl                                             | JSON Lines       |         15 |          0 |          1 |         16 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\logs\tax_example\transactions_20250812.log                                               | log              |         15 |          0 |          1 |         16 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\requirements.txt                                                                         | pip requirements |         58 |         21 |         20 |         99 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\README.md                                                            | Markdown         |         94 |          0 |         25 |        119 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\__init__.py                                                          | Python           |          2 |          4 |          1 |          7 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\api\__init__.py                                                      | Python           |          0 |          3 |          0 |          3 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\api\broker_interface.py                                              | Python           |         37 |         77 |         14 |        128 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\api\moex_interface.py                                                | Python           |         23 |         57 |          9 |         89 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\config\__init__.py                                                   | Python           |          0 |          3 |          0 |          3 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\config\alert_config.py                                               | Python           |        186 |        102 |         36 |        324 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\config\market_config.py                                              | Python           |         98 |         25 |         36 |        159 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\config\settings.py                                                   | Python           |         59 |         18 |         21 |         98 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\database\README.md                                                   | Markdown         |        229 |          0 |         70 |        299 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\database\__init__.py                                                 | Python           |          0 |          1 |          0 |          1 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\database\config.py                                                   | Python           |         47 |         12 |          9 |         68 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\database\data_access.py                                              | Python           |        341 |         44 |         56 |        441 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\database\migrations.py                                               | Python           |        134 |         88 |         36 |        258 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\database\requirements.txt                                            | pip requirements |         10 |          8 |          6 |         24 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\database\schema.py                                                   | Python           |        121 |         17 |         31 |        169 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\examples\ai_decision_engine_example.py                               | Python           |        252 |         39 |         52 |        343 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\examples\alert_system_example.py                                     | Python           |        201 |         44 |         66 |        311 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\examples\backtesting_example.py                                      | Python           |        271 |         42 |         83 |        396 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\examples\enhanced_market_monitoring_example.py                       | Python           |        281 |         38 |         74 |        393 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\examples\entity_recognition_example.py                               | Python           |        211 |         15 |         17 |        243 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\examples\geopolitical_risk_example.py                                | Python           |        243 |         14 |         37 |        294 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\examples\nlp_example.py                                              | Python           |         32 |          9 |         17 |         58 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\examples\paper_trading_example.py                                    | Python           |        365 |         60 |        111 |        536 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\examples\performance_analytics_example.py                            | Python           |        177 |         22 |         37 |        236 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\examples\russian_tax_reporting_example.py                            | Python           |        195 |         28 |         44 |        267 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\examples\sentiment_analysis_example.py                               | Python           |        268 |         37 |         61 |        366 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\examples\technical_analysis_example.py                               | Python           |        220 |         42 |         67 |        329 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\examples\volume_analysis_example.py                                  | Python           |        188 |         36 |         70 |        294 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\README.md                                             | Markdown         |        207 |          0 |         79 |        286 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\__init__.py                                           | Python           |          0 |          1 |          0 |          1 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\api_config\__init__.py                                | Python           |          0 |          1 |          0 |          1 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\api_config\api_manager.py                             | Python           |        301 |         43 |         78 |        422 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\api_config\broker_apis_config.py                      | Python           |        344 |         36 |         84 |        464 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\api_config\moex_api_config.py                         | Python           |        251 |         37 |         62 |        350 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\api_config\monitoring_config.py                       | Python           |        401 |         45 |         76 |        522 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\api_config\news_feeds_config.py                       | Python           |        316 |         32 |         76 |        424 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\backup\backup_script.bat                              | Batch            |         49 |         13 |         15 |         77 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\backup\backup_script.sh                               | Shell Script     |         63 |         16 |         17 |         96 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\backup\restore_script.sh                              | Shell Script     |         92 |         21 |         22 |        135 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\deployment\deploy.bat                                 | Batch            |        123 |         22 |         28 |        173 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\deployment\deploy.sh                                  | Shell Script     |        176 |         30 |         37 |        243 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\docker-compose.prod.yml                               | YAML             |        150 |          7 |         11 |        168 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\maintenance\__init__.py                               | Python           |          0 |          1 |          0 |          1 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\maintenance\automated_alerts.py                       | Python           |        567 |         52 |         59 |        678 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\maintenance\maintenance_orchestrator.py               | Python           |        227 |         46 |         67 |        340 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\maintenance\maintenance_procedures.py                 | Python           |        635 |         80 |        136 |        851 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\maintenance\system_documentation.py                   | Python           |        142 |         14 |         14 |        170 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\maintenance\system_health_monitor.py                  | Python           |        599 |         70 |        124 |        793 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\monitoring\health_monitor.py                          | Python           |        342 |         39 |         83 |        464 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\monitoring\logstash.conf                              | Properties       |         89 |          7 |         17 |        113 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\monitoring\prometheus.yml                             | YAML             |         52 |          7 |          9 |         68 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\infrastructure\nginx\nginx.conf                                      | Properties       |         77 |         25 |         15 |        117 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\main.py                                                              | Python           |        154 |         37 |         43 |        234 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\models\__init__.py                                                   | Python           |          0 |          3 |          0 |          3 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\models\market_data.py                                                | Python           |        276 |         53 |         89 |        418 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\models\news.py                                                       | Python           |         59 |         11 |         14 |         84 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\models\news_data.py                                                  | Python           |        291 |         54 |         98 |        443 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\models\notifications.py                                              | Python           |        247 |         26 |         39 |        312 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\models\trading.py                                                    | Python           |        101 |         16 |         23 |        140 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\__init__.py                                                 | Python           |          0 |          3 |          0 |          3 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\ai_decision_engine.py                                       | Python           |        420 |         73 |        103 |        596 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\alert_manager.py                                            | Python           |        328 |         65 |         86 |        479 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\backtesting_engine.py                                       | Python           |        610 |        143 |        169 |        922 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\enhanced_market_monitor.py                                  | Python           |        532 |         99 |        149 |        780 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\entity_recognizer.py                                        | Python           |        401 |         47 |         66 |        514 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\finam_broker.py                                             | Python           |        255 |         46 |         65 |        366 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\market_monitor.py                                           | Python           |        414 |         69 |        116 |        599 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\moex_client.py                                              | Python           |        578 |        184 |        177 |        939 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\moex_compliance.py                                          | Python           |        225 |        142 |         68 |        435 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\news_aggregator.py                                          | Python           |        370 |        163 |        118 |        651 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\notification_service.py                                     | Python           |        367 |         75 |         98 |        540 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\order_manager.py                                            | Python           |        263 |         70 |         85 |        418 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\paper_trading_engine.py                                     | Python           |        569 |        126 |        186 |        881 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\performance_analytics.py                                    | Python           |        377 |         66 |        102 |        545 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\portfolio_manager.py                                        | Python           |        351 |        112 |        100 |        563 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\reasoning_engine.py                                         | Python           |        469 |         70 |        115 |        654 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\risk_manager.py                                             | Python           |      2,395 |        618 |        529 |      3,542 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\russian_nlp.py                                              | Python           |        252 |         49 |         67 |        368 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\russian_tax_reporter.py                                     | Python           |        405 |        164 |         92 |        661 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\sentiment_analyzer.py                                       | Python           |        393 |         72 |         94 |        559 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\technical_analyzer.py                                       | Python           |        205 |        112 |         71 |        388 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\tinkoff_broker.py                                           | Python           |        268 |         44 |         69 |        381 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\trading_strategies.py                                       | Python           |        483 |         79 |        144 |        706 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\transaction_logger.py                                       | Python           |        451 |        120 |        103 |        674 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\services\volume_analyzer.py                                          | Python           |        277 |        165 |         87 |        529 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\INTEGRATION_TESTS_README.md                                    | Markdown         |        325 |          0 |        113 |        438 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\automated_test_runner.py                                       | Python           |        330 |         41 |         84 |        455 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\integration_test_config.json                                   | JSON             |        147 |          0 |          0 |        147 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\integration_test_runner.py                                     | Python           |        506 |         59 |        115 |        680 |
